"seq","order_number","product_sku","quantity","grupo_esperado","stock_inicial_sku","ts_envio_utc","ts_respuesta_utc","latencia_ms","http_ok","http_status","respuesta_status","error"
"1","ORD-E1A-001","PROD-013","2","con_stock","5","2026-08-10 17:13:19.278","2026-08-10 17:13:19.474","192,3","True","200","confirmed",
"2","ORD-E1A-002","PROD-018","3","con_stock","80","2026-08-10 17:13:21.489","2026-08-10 17:13:21.591","101,6","True","200","confirmed",
"3","ORD-E1A-003","PROD-016","3","con_stock","10","2026-08-10 17:13:23.578","2026-08-10 17:13:23.670","93","True","200","confirmed",
"4","ORD-E1A-004","PROD-004","3","con_stock","8","2026-08-10 17:13:25.682","2026-08-10 17:13:25.774","92,5","True","200","confirmed",
"5","ORD-E1A-005","PROD-017","23","no_stock","20","2026-08-10 17:13:27.780","2026-08-10 17:13:27.866","86,3","True","200","no_stock",
"6","ORD-E1A-006","PROD-018","1","con_stock","80","2026-08-10 17:13:29.882","2026-08-10 17:13:29.974","91,6","True","200","confirmed",
"7","ORD-E1A-007","PROD-016","2","con_stock","10","2026-08-10 17:13:31.989","2026-08-10 17:13:32.082","92,8","True","200","confirmed",
"8","ORD-E1A-008","PROD-012","1","con_stock","22","2026-08-10 17:13:34.092","2026-08-10 17:13:34.183","90,3","True","200","confirmed",
"9","ORD-E1A-009","PROD-005","7","no_stock","4","2026-08-10 17:13:36.195","2026-08-10 17:13:36.281","86,4","True","200","no_stock",
"10","ORD-E1A-010","PROD-020","2","con_stock","25","2026-08-10 17:13:38.285","2026-08-10 17:13:38.378","92,5","True","200","confirmed",
"11","ORD-E1A-011","PROD-003","2","con_stock","15","2026-08-10 17:13:40.383","2026-08-10 17:13:40.469","86,3","True","200","confirmed",
"12","ORD-E1A-012","PROD-012","3","con_stock","22","2026-08-10 17:13:42.476","2026-08-10 17:13:42.561","84,9","True","200","confirmed",
"13","ORD-E1A-013","PROD-015","2","con_stock","7","2026-08-10 17:13:44.576","2026-08-10 17:13:44.661","85,1","True","200","confirmed",
