"ronda","order_number","sku","quantity","skew_disparo_ms","http_status","http_ok","respuesta","error"
"1","ORD-E1B-R1-01","PROD-005","1","2,92","200","True",,
"1","ORD-E1B-R1-02","PROD-005","1","21,59","200","True",,
"1","ORD-E1B-R1-03","PROD-005","1","21,66","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-03"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"1","ORD-E1B-R1-04","PROD-005","1","21,68","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-04"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"1","ORD-E1B-R1-05","PROD-005","1","21,7","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-05"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"1","ORD-E1B-R1-06","PROD-005","1","21,72","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-06"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"1","ORD-E1B-R1-07","PROD-005","1","21,74","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-07"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"1","ORD-E1B-R1-08","PROD-005","1","21,75","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-08"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"1","ORD-E1B-R1-09","PROD-005","1","21,77","200","True",,
"1","ORD-E1B-R1-10","PROD-005","1","21,79","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-10"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"1","ORD-E1B-R1-11","PROD-005","1","21,8","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-11"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"1","ORD-E1B-R1-12","PROD-005","1","21,81","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-12"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"1","ORD-E1B-R1-13","PROD-005","1","21,82","200","True",,
"1","ORD-E1B-R1-14","PROD-005","1","21,83","200","True",,
"1","ORD-E1B-R1-15","PROD-005","1","22,74","200","True",,
"1","ORD-E1B-R1-16","PROD-005","1","22,76","200","True",,
"1","ORD-E1B-R1-17","PROD-005","1","22,77","200","True",,
"1","ORD-E1B-R1-18","PROD-005","1","22,78","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-18"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"1","ORD-E1B-R1-19","PROD-005","1","22,79","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-19"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"1","ORD-E1B-R1-20","PROD-005","1","22,8","200","True","{""success"":true,""order_number"":""ORD-E1B-R1-20"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"2","ORD-E1B-R2-01","PROD-005","1","0,08","200","True","{""success"":true,""order_number"":""ORD-E1B-R2-01"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"2","ORD-E1B-R2-02","PROD-005","1","0,2","200","True",,
"2","ORD-E1B-R2-03","PROD-005","1","0,22","200","True",,
"2","ORD-E1B-R2-04","PROD-005","1","0,24","200","True",,
"2","ORD-E1B-R2-05","PROD-005","1","0,25","200","True","{""success"":true,""order_number"":""ORD-E1B-R2-05"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"2","ORD-E1B-R2-06","PROD-005","1","0,26","200","True","{""success"":true,""order_number"":""ORD-E1B-R2-06"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"2","ORD-E1B-R2-07","PROD-005","1","0,28","200","True",,
"2","ORD-E1B-R2-08","PROD-005","1","0,29","200","True","{""success"":true,""order_number"":""ORD-E1B-R2-08"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"2","ORD-E1B-R2-09","PROD-005","1","0,3","200","True","{""success"":true,""order_number"":""ORD-E1B-R2-09"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"2","ORD-E1B-R2-10","PROD-005","1","0,31","200","True",,
"2","ORD-E1B-R2-11","PROD-005","1","0,33","200","True",,
"2","ORD-E1B-R2-12","PROD-005","1","0,41","200","True","{""success"":true,""order_number"":""ORD-E1B-R2-12"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"2","ORD-E1B-R2-13","PROD-005","1","0,44","200","True",,
"2","ORD-E1B-R2-14","PROD-005","1","0,45","200","True","{""success"":true,""order_number"":""ORD-E1B-R2-14"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"2","ORD-E1B-R2-15","PROD-005","1","0,45","200","True","{""success"":true,""order_number"":""ORD-E1B-R2-15"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"2","ORD-E1B-R2-16","PROD-005","1","0,46","200","True","{""success"":true,""order_number"":""ORD-E1B-R2-16"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"2","ORD-E1B-R2-17","PROD-005","1","0,47","200","True","{""success"":true,""order_number"":""ORD-E1B-R2-17"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"2","ORD-E1B-R2-18","PROD-005","1","0,48","200","True",,
"2","ORD-E1B-R2-19","PROD-005","1","0,49","200","True",,
"2","ORD-E1B-R2-20","PROD-005","1","0,5","200","True","{""success"":true,""order_number"":""ORD-E1B-R2-20"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"3","ORD-E1B-R3-01","PROD-005","1","0,08","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-01"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"3","ORD-E1B-R3-02","PROD-005","1","0,17","200","True",,
"3","ORD-E1B-R3-03","PROD-005","1","0,2","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-03"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"3","ORD-E1B-R3-04","PROD-005","1","0,21","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-04"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"3","ORD-E1B-R3-05","PROD-005","1","0,23","200","True",,
"3","ORD-E1B-R3-06","PROD-005","1","0,24","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-06"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"3","ORD-E1B-R3-07","PROD-005","1","0,25","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-07"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"3","ORD-E1B-R3-08","PROD-005","1","0,26","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-08"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"3","ORD-E1B-R3-09","PROD-005","1","0,28","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-09"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"3","ORD-E1B-R3-10","PROD-005","1","0,29","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-10"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"3","ORD-E1B-R3-11","PROD-005","1","0,3","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-11"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"3","ORD-E1B-R3-12","PROD-005","1","0,32","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-12"",""status"":""confirmed"",""total_amount"":349.99,""message"":""Orden procesada y confirmada. Email de confirmación enviado.""}",
"3","ORD-E1B-R3-13","PROD-005","1","0,33","200","True",,
"3","ORD-E1B-R3-14","PROD-005","1","0,34","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-14"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"3","ORD-E1B-R3-15","PROD-005","1","0,35","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-15"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
"3","ORD-E1B-R3-16","PROD-005","1","0,37","200","True",,
"3","ORD-E1B-R3-17","PROD-005","1","0,38","200","True",,
"3","ORD-E1B-R3-18","PROD-005","1","0,39","200","True",,
"3","ORD-E1B-R3-19","PROD-005","1","0,4","200","True","{""success"":true,""order_number"":""ORD-E1B-R3-19"",""status"":""no_stock"",""total_amount"":349.99,""message"":""Producto sin stock disponible. Se notificó al cliente.""}",
