id,intent,segundos
1,GENERAL,1.0
2,RECLAMO,2.4
3,FAQ,3.3
4,ESTADO_PEDIDO,4.1
5,ESTADO_PEDIDO,10.8
6,FAQ,4.8
7,RECLAMO,2.9
8,ESTADO_PEDIDO,1.7
9,GENERAL,1.9
10,FAQ,5.5
11,RECLAMO,3.2
12,ESTADO_PEDIDO,2.2
13,FAQ,4.6
14,GENERAL,1.5
15,RECLAMO,2.0
16,RECLAMO,21.7
17,FAQ,1.8
18,RECLAMO,2.9
19,ESTADO_PEDIDO,2.8
20,FAQ,3.0
21,FAQ,4.7
22,GENERAL,1.9
23,RECLAMO,2.4
24,ESTADO_PEDIDO,6.4
25,FAQ,4.0
26,RECLAMO,2.5
27,GENERAL,1.1
28,ESTADO_PEDIDO,2.4
29,FAQ,2.5
30,RECLAMO,4.6
31,ESTADO_PEDIDO,6.3
32,FAQ,13.7
33,GENERAL,1.6
34,RECLAMO,2.3
35,ESTADO_PEDIDO,6.8
36,FAQ,1.9
37,RECLAMO,19.2
38,RECLAMO,5.3
39,ESTADO_PEDIDO,3.8
40,FAQ,3.5
41,RECLAMO,2.1
42,GENERAL,2.1
43,ESTADO_PEDIDO,1.2
44,FAQ,1.8
45,RECLAMO,1.6
46,ESTADO_PEDIDO,3.1
47,FAQ,3.2
48,GENERAL,1.5
49,RECLAMO,2.3
50,ESTADO_PEDIDO,7.4
51,FAQ,2.2
52,RECLAMO,4.3
53,ESTADO_PEDIDO,3.8
54,FAQ,1.7
55,GENERAL,1.4
56,RECLAMO,5.4
57,ESTADO_PEDIDO,2.4
58,FAQ,3.8
59,RECLAMO,1.8
60,ESTADO_PEDIDO,2.9
61,FAQ,2.9
62,GENERAL,1.3
63,RECLAMO,1.8
64,ESTADO_PEDIDO,2.6
65,FAQ,5.6
66,RECLAMO,2.6
67,ESTADO_PEDIDO,3.3
68,FAQ,2.2
69,RECLAMO,5.0
70,RECLAMO,2.6
71,ESTADO_PEDIDO,1.2
72,FAQ,3.5
73,GENERAL,1.1
74,RECLAMO,3.1
75,RECLAMO,2.6
76,FAQ,13.0
77,RECLAMO,3.0
78,ESTADO_PEDIDO,3.4
79,FAQ,4.5
80,GENERAL,1.4
81,RECLAMO,2.6
82,ESTADO_PEDIDO,1.7
83,FAQ,3.3
84,RECLAMO,2.5
85,ESTADO_PEDIDO,1.4
86,FAQ,4.6
87,GENERAL,1.2
88,RECLAMO,3.0
89,ESTADO_PEDIDO,5.2
90,FAQ,1.2
91,RECLAMO,5.0
92,ESTADO_PEDIDO,3.4
93,FAQ,2.7
94,RECLAMO,3.8
95,RECLAMO,2.2
96,ESTADO_PEDIDO,1.6
97,FAQ,1.5
98,GENERAL,1.0
99,RECLAMO,2.1
100,ESTADO_PEDIDO,3.2
101,FAQ,2.4
102,RECLAMO,1.8
103,ESTADO_PEDIDO,2.3
104,FAQ,3.4
105,GENERAL,2.0
106,RECLAMO,3.6
107,ESTADO_PEDIDO,2.8
108,FAQ,2.0
109,FAQ,14.3
110,RECLAMO,2.8
111,ESTADO_PEDIDO,2.8
112,FAQ,3.3
113,GENERAL,1.1
114,RECLAMO,1.9
115,ESTADO_PEDIDO,1.8
116,FAQ,3.0
117,RECLAMO,3.5
118,ESTADO_PEDIDO,3.0
119,FAQ,3.1
120,GENERAL,2.6
121,RECLAMO,2.1
122,ESTADO_PEDIDO,2.2
123,FAQ,3.7
124,FAQ,7.5
125,ESTADO_PEDIDO,1.4
126,FAQ,6.4
127,RECLAMO,2.9
128,GENERAL,1.8
129,FAQ,3.0
130,FAQ,1.8
131,RECLAMO,3.3
132,FAQ,0.7
133,FAQ,3.3
134,GENERAL,1.2
135,FAQ,6.3
136,ESTADO_PEDIDO,6.2
137,FAQ,3.2
138,GENERAL,5.3
139,FAQ,2.5
140,FAQ,4.9
141,FAQ,2.8
142,GENERAL,2.0
143,RECLAMO,2.6
144,ESTADO_PEDIDO,20.1
145,FAQ,4.8
146,GENERAL,1.7
147,GENERAL,1.4
148,GENERAL,1.1
149,GENERAL,0.9
150,RECLAMO,3.4
