id,intent,segundos
101,FAQ,1.6
20,FAQ,1.4
66,RECLAMO,4.0
5,ESTADO_PEDIDO,9.3
47,FAQ,6.6
110,RECLAMO,5.7
27,GENERAL,4.5
55,GENERAL,1.8
82,ESTADO_PEDIDO,5.7
70,RECLAMO,4.8
25,FAQ,7.6
61,FAQ,7.3
72,FAQ,6.5
147,GENERAL,2.0
149,GENERAL,1.1
14,GENERAL,1.0
146,GENERAL,3.1
138,GENERAL,9.5
2,RECLAMO,4.8
45,RECLAMO,3.2
41,RECLAMO,11.0
114,RECLAMO,5.0
57,ESTADO_PEDIDO,2.8
58,FAQ,4.0
128,FAQ,4.6
117,RECLAMO,22.6
119,FAQ,4.4
123,FAQ,3.3
142,GENERAL,3.3
37,RECLAMO,4.6
103,ESTADO_PEDIDO,5.9
13,FAQ,2.9
35,ESTADO_PEDIDO,3.8
81,RECLAMO,3.8
127,RECLAMO,2.9
44,FAQ,3.0
50,ESTADO_PEDIDO,3.2
131,RECLAMO,3.1
87,GENERAL,1.8
3,FAQ,3.5
38,FAQ,4.1
74,RECLAMO,13.5
18,RECLAMO,5.1
89,ESTADO_PEDIDO,3.0
46,ESTADO_PEDIDO,3.2
109,ESTADO_PEDIDO,5.4
150,RECLAMO,4.3
24,ESTADO_PEDIDO,4.4
80,GENERAL,1.7
98,GENERAL,1.2
